start	end	text
0	7320	и формация это среднепрофессиональное образование сколько часов будет победят
7320	13000	и по формации мы сейчас прям вот в режиме так сказать непосредственно уточним у евгении
13000	26720	юрьевны вот тут я все печатала можете писать на меня когнитивный самосмотрите нам было мне
26720	33880	на почту были высланы рабочие программы дисциплины я нашла нашу основу латинского языка смесь риска
33880	42340	церемонологии согласно вот этому документу у нас 76 часов из которых 44 часа очные и 34 что такое
42340	42900	запись
43000	54660	я сейчас на почту вышел и мне прислали это кто это учебные а это среднее образование
54660	69400	фармацевт этоится плюс а и учебное дело 76 часов и есть варять его раза недель recyли
69400	72060	челленджри активные части
73000	80000	Вариативная часть или это дистанционная какая-то что-то?
80000	81000	А вот мы тоже не поняли.
81000	83000	Сейчас давайте я сниму вот эту.
83000	88000	Это тут еще в начале было написано, или кнопка на втором листе.
88000	90000	Я вам сейчас сниму.
97000	99000	Это два раза в неделю, что ли, получается?
99000	100000	Или по три часа?
100000	102000	Вот, если семьдесят шесть часов.
102000	103000	Вот.
103000	104000	Вот здесь.
104000	105000	Нет, раз в неделю.
105000	107000	Нет, раз в неделю это тридцать...
107000	110000	А, тридцать шесть часов от полутора по полутора жены.
126000	128000	А, это вариативная часть.
128000	129000	Обязательно рисовшие чехол.
130000	134000	То есть, это одна пара в течение всей недели.
134000	136000	Ну, в течение двух семерок.
136000	138000	Так?
138000	139000	Да.
139000	140000	Это кто?
140000	141000	Пасы.
141000	142000	А сколько длится пара?
142000	143000	Нет сроков.
143000	144000	Сроков нет.
144000	145000	Но полтора часа пара.
145000	146000	Хороший вопрос, кстати.
146000	147000	Целую неделю.
147000	154000	Вот, к сожалению, они взимошиблись и выслали вместо вот этой вот, вместо вот этой расчесовки,
154000	158000	они выслали нам специалитет, а не среднее образование.
158000	159000	Видите, вот я распечатала.
159000	161000	Тут произошла путаница.
161000	163000	Они нам не тот документ выслали.
163000	168000	Потому что понять, сколько семестров это будет проходить, непонятно.
168000	169000	Один или два.
169000	170000	Они могут растянуть на два семестра.
170000	173000	Ну, если полтора часа и два семестра, это же сто восемь какого-то.
173000	176000	Ладно, давайте сейчас мы не будем, как бы...
176000	178000	Почему сто восемь до семьдесят два?
178000	179000	Как это все получается?
179000	181000	Давайте мы определим, что у нас программа...
181000	183000	Потому что если раз в неделю один урок...
183000	187000	У нас программа получается, ну, почти семьдесят два часа.
187000	192000	То есть это, скорее всего, два семестра по одной паре.
192000	195000	Скорее всего.
195000	198000	Да, все правильно.
198000	200000	Нам что требуется?
200000	208000	От нас требуется составить программу и составить фонд по среднему образованию.
208000	210000	Нам приблизительно выслали.
210000	211000	Вот, я распечатала.
211000	212000	Нам приблизительно...
212000	214000	Мы можем внести свои изменения.
214000	216000	Я так поняла, они фосы взяли из...
216000	219000	Взяли из специалитета.
219000	223000	Вот, и такое ощущение, я просто узнаю вот эти задания.
223000	225000	Так, ладно.
225000	226000	Значит, нам нужно...
226000	231000	Нам нужно распределить закрепление за сотрудниками, за нами.
231000	234000	То есть программу.
234000	238000	Потому что их в любом случае надо обновлять.
238000	239000	Значит, предлагайте следующее.
239000	242000	Татьяна Владимировна Личпак.
242000	245000	Дмитрий Павлович Кибернетика.
245000	248000	Не навчил на СПО, лечу стомат.
248000	251000	Татьяна Валерьевна, СПО ФАРМ.
251000	252000	И фармацию.
252000	254000	Вместе с Верой Владимировной и фармацией.
254000	256000	Фармацию я делала в прошлом году, мне будет легче.
256000	258000	Мы будем помогать.
258000	260000	Елена Алексеевна, стомат.
260000	262000	А стомат уже сделан.
262000	263000	Так обновляйте.
263000	265000	Я это и делала.
265000	267000	Я же это уже делала на этих курсах повышения квалификации.
267000	269000	В качестве задания мне дали стомат.
269000	271000	Это уже сделано.
271000	273000	Остались фосы.
273000	276000	Тогда Елена Алексеевна фосы будет по стомату обновлять.
276000	278000	Логично?
278000	281000	Марина Викторовна вместе со мной в педиатрию.
281000	283000	Все?
283000	285000	Согласны, коллеги?
285000	287000	Тихонова еще что?
287000	289000	Вера Владимировна вместе с Татьяной Валерьевной.
289000	291000	Помогать будет фармацевтам.
291000	293000	Делать программу.
293000	296000	Коллеги, я хочу сказать, что дополнить.
296000	298000	Не переживайте.
298000	300000	Вместе мы все сделаем.
300000	302000	Я предлагаю нам как-то просто решить,
302000	306000	в какой период времени мы можем где-то пересекаться на кафедре,
306000	310000	оставаться там на 20-25 минут, на полчаса.
310000	314000	И, в общем, есть короткий способ обновить программу.
314000	316000	Скопировать имеющуюся.
316000	322000	Внести новые, свежие, как сказать, планы дисциплины.
322000	325000	А где их будет, нужно узнать.
325000	327000	Что, какие изменения?
327000	329000	Все это уже внесено.
329000	331000	Это все в 1С.
331000	333000	Это все в системе 1С.
333000	335000	Дмитрий Павлович, я все это покажу и расскажу.
335000	337000	Татьяна Валерьевна, расскажите нам сроки.
337000	342000	Просто коллеги, вот давайте, знаете, желает нам до конца.
342000	345000	Нам это все надо сделать до мая месяца.
345000	347000	До конца апреля.
347000	349000	До конца апреля. У нас месяц.
353000	355000	Так, составление новых программ.
355000	357000	Того новых программ практически шаблон есть?
357000	358000	Да.
358000	360000	По фармацевтам, по педиатрам ничего не прислали нам пока?
360000	361000	Пока еще не прислали.
361000	363000	Педиатры, программ, лечфак.
363000	365000	Значит, в программе педиатрии, что мы должны сделать?
365000	372000	Мы должны обновить только часть клинической терминологии, добавив детские болезни.
372000	376000	То есть вот всякие витрянки, оспы, коклюши.
376000	378000	Вот их названия.
378000	386000	У нас отдельно в курсе по клинической терминологии отсутствует название пациентных заболеваний, если вы как-то помните.
386000	387000	Там вообще нет.
387000	389000	То есть это типа, как сложный клинический термин, 115-й параграф.
389000	392000	Нет, я думаю, что надо отдельно разработать.
392000	395000	То есть это будут не куски, не термин-элементы, а слова?
395000	396000	Фактически да.
396000	399000	А там они не лепятся из термин-элементов.
399000	401000	Они все имеют свои названия.
401000	408000	Витрянки, дифтерии, у них они не учленятся на термин-элементах.
408000	413000	У нас когда-то писала эту тему инфекционные болезни.
413000	415000	Наталья Михайловна.
415000	417000	Не Наталья Михайловна, а Ирина Мельникова.
417000	418000	Мельникова.
418000	420000	Коллеги у меня стали сетевыми номерами.
420000	421000	Надо найти.
421000	425000	Я даже помню их отлично, там все эти шифровки.
425000	426000	Они видят табличные данные.
426000	427000	Да, табличные данные.
427000	429000	Марина Юрьевна, кто у меня есть, я принесу.
429000	430000	А завтра вы будете?
430000	431000	Да.
431000	432000	Я вам принесу.
432000	433000	Спасибо.
433000	435000	Просто, Татьяна Юрьевна, я кибернетиков...
435000	437000	В электронном нет, она не делала ничего в электронном.
437000	439000	Но я отсканирую, там не так много.
439000	441000	Я отсканирую, коллеги вышли.
441000	443000	Отсканирую и вышли.
443000	445000	Я кибернетиков не слышала, не видел ни разу.
445000	447000	Я не понимаю, что это, куда вообще.
447000	450000	Наталья Павловича, не переживайте, вместе сделаем все сделаем.
450000	452000	Наталья Павловича, у вас кибернетики спрашивают.
452000	453000	Кибернетики уже об этом.
453000	455000	А кибернетики это личфак один в один?
455000	456000	Да.
456000	457000	Да.
457000	458000	Личфак.
458000	464000	То есть вы в тесной кооперации с Татьяной Владимировной.
464000	465000	Уже лучше.
465000	466000	Уже лучше.
466000	468000	Наталья Павловича, я в прошлом году делала...
468000	469000	Нет, кибернетику...
469000	470000	Кибернетику я делала.
470000	472000	Вы делали кибернетику.
472000	475000	Коллеги, мы просто копируем старые программы, дальше
475000	476000	вносим нужное.
476000	477000	Забыла.
477000	478000	Компетенции.
478000	479000	Компетенции.
479000	480000	Господи.
480000	481000	Там они откроются.
481000	482000	Индикаторы компетенции.
482000	483000	Знаете, они вот.
483000	484000	Шифры.
484000	485000	Шифры.
485000	486000	Так я скажу.
486000	487000	Мы вносим, господи, новое вот это.
